movie,production_budget,domestic_gross_x,worldwide_gross,studio,year
Destroyer,9000000,1533324,3681096,Annapurna,2018
Vice,60000000,47836282,70883171,Annapurna,2018
On the Basis of Sex,20000000,24622687,38073377,Focus,2018
Aquaman,160000000,335061807,1146894640,WB,2018
Second Act,15700000,39282227,63288854,STX,2018
Bumblebee,102000000,127195589,465195589,Par.,2018
Welcome to Marwen,45000000,10763520,12874922,Uni.,2018
Mary Poppins Returns,130000000,171958438,341528518,BV,2018
Mortal Engines,100000000,15951040,85287417,Uni.,2018
The Mule,50000000,103804407,170857676,WB,2018
If Beale Street Could Talk,12000000,14915773,19859167,Annapurna,2018
Ben is Back,13000000,3703182,9633111,RAtt.,2018
Mary Queen of Scots,25000000,16468499,46734733,Focus,2018
The Possession of Hannah Grace,6000000,14836174,42785387,SGem,2018
The Favourite,15000000,34366783,94113929,FoxS,2018
Creed II,50000000,115715889,213591522,MGM,2018
Robin Hood,99000000,30824628,84747441,Uni.,2010
Instant Family,48000000,67363237,119736188,Par.,2018
Green Book,23000000,85080171,322034439,Uni.,2018
Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086,WB,2018
Widows,40000000,42402632,73866088,Fox,2018
Bohemian Rhapsody,55000000,216303339,894985342,Fox,2018
The Nutcracker and the Four Realms,132900000,54858851,170293899,BV,2018
Suspiria,20000000,2483472,7034615,Amazon,2018
Can You Ever Forgive Me?,10000000,8803865,11752387,FoxS,2018
Goosebumps 2: Haunted Halloween,35000000,46697321,93291478,Sony,2018
First Man,60000000,44936545,105203825,Uni.,2018
Beautiful Boy,25000000,7634767,13031424,Anch.,2011
The Hate U Give,23000000,29719483,35067665,Fox,2018
Hell Fest,5500000,11107431,18119231,LGF,2018
Smallfoot,80000000,83240103,213691277,WB,2018
The Sisters Brothers,38000000,3143056,13143056,Annapurna,2018
White Boy Rick,30000000,24004833,25947983,Studio 8,2018
Mandy,6000000,1214525,1427656,RLJ,2018
A Simple Favor,20000000,53548586,97628717,LGF,2018
Peppermint,25000000,35418723,51800758,STX,2018
Kin,30000000,5718096,10096821,LGF,2018
Alpha,51000000,35851379,99624873,Studio 8,2018
Mile 22,35000000,36108758,66295121,STX,2018
Crazy Rich Asians,30000000,174532921,238099711,WB,2018
BlacKkKlansman,15000000,49275340,93017335,Focus,2018
Slender Man,10000000,30564825,51723644,SGem,2018
The Meg,178000000,145443742,529530715,WB,2018
The Darkest Minds,34000000,12695691,38361428,Fox,2018
Teen Titans Go! To The Movies,10000000,29790236,51620593,WB,2018
The Equalizer 2,77000000,102084362,190453132,Sony,2018
Unfriended: Dark Web,1000000,8866745,16434588,BH Tilt,2018
Skyscraper,125000000,68420120,304115534,Uni.,2018
Hotel Transylvania 3: Summer Vacation,65000000,167500092,527079962,Sony,2018
Ant-Man and the Wasp,130000000,216648740,623144660,BV,2018
The First Purge,13000000,69488745,136617305,Uni.,2018
Sicario: Day of the Soldado,35000000,50065850,75885196,Sony,2018
Uncle Drew,18000000,42469946,46527161,LG/S,2018
Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,Uni.,2018
Gotti,10000000,4286367,6089100,VE,2018
Incredibles 2,200000000,608581744,1242520711,BV,2018
Tag,28000000,54730625,77026186,WB (NL),2018
Superfly,16000000,20537137,20723581,Sony,2018
Hereditary,10000000,44069456,70133905,A24,2018
Hotel Artemis,15000000,6708137,12758799,Global Road,2018
Upgrade,3000000,11977130,16553285,BH Tilt,2018
Adrift,35000000,31445011,57897191,STX,2018
Solo: A Star Wars Story,275000000,213767512,393151347,BV,2018
Book Club,10000000,68566296,91113683,Par.,2018
Deadpool 2,110000000,324591735,786680557,Fox,2018
Life of the Party,30000000,53059911,65759911,WB (NL),2018
Avengers: Infinity War,300000000,678815482,2048134200,BV,2018
I Feel Pretty,32000000,48795601,91553797,STX,2018
Truth or Dare,3500000,41411015,95127344,Uni.,2018
Blockers,21000000,60311495,94045328,Uni.,2018
Lean on Pete,8000000,1163056,2455027,A24,2018
A Quiet Place,17000000,188024361,334522294,Par.,2018
Ready Player One,150000000,137690172,579290136,WB,2018
Sherlock Gnomes,59000000,43242871,87527651,Par.,2018
"Paul, Apostle of Christ",5000000,17547999,25529498,Affirm,2018
Unsane,1500000,7690044,14244931,BST,2018
"Love, Simon",10000000,40826341,65520633,Fox,2018
Tomb Raider,90000000,58250803,273477501,WB,2018
The Hurricane Heist,40000000,6115824,30963684,ENTMP,2018
A Wrinkle in Time,103000000,100478608,133401882,BV,2018
Red Sparrow,69000000,46874505,145951861,Fox,2018
Game Night,37000000,69179066,117378084,WB (NL),2018
Early Man,50000000,8267544,45285890,LGF,2018
Black Panther,200000000,700059566,1348258224,BV,2018
The 15:17 to Paris,30000000,36276286,56096200,WB,2018
Fifty Shades Freed,55000000,100407760,371350619,Uni.,2018
Peter Rabbit,50000000,115234093,347136477,Sony,2018
Bilal: A New Breed of Hero,30000000,490973,648599,VE,2018
Winchester,3500000,25091816,44378040,LGF,2018
Maze Runner: The Death Cure,61000000,58032443,265878536,Fox,2018
12 Strong,35000000,45819713,71118378,WB,2018
Den of Thieves,30000000,44947622,80131391,STX,2018
The Commuter,40000000,36343858,101985431,LGF,2018
Proud Mary,30000000,20868638,21709539,SGem,2018
Insidious: The Last Key,10000000,67745330,167885588,Uni.,2018
Pitch Perfect 3,45000000,104897530,185736412,Uni.,2017
The Post,50000000,81903458,179748880,Fox,2017
Father Figures,25000000,17501244,21038441,WB,2017
Downsizing,68000000,24449754,54462971,Par.,2017
Jumanji: Welcome to the Jungle,90000000,404508916,964496193,Sony,2017
The Greatest Showman,84000000,174340174,386665550,Fox,2017
Ferdinand,111000000,84410380,289847930,Fox,2017
"I, Tonya",11000000,30014534,53797409,Neon,2017
Just Getting Started,22000000,6069605,6756412,BG,2017
The Disaster Artist,10000000,21120616,28717667,A24,2017
The Shape of Water,19500000,63859435,195790794,FoxS,2017
Darkest Hour,30000000,56443120,150807172,Focus,2017
Coco,175000000,209726015,798008101,BV,2017
Justice League,300000000,229024295,655945209,WB,2017
Wonder,20000000,132422809,304604712,LGF,2017
"Roman J. Israel, Esq.",22000000,11962712,12967012,Sony,2017
The Star,20000000,40847995,62758010,Sony,2017
"Three Billboards Outside Ebbing, Missouri",12000000,54513740,160191915,FoxS,2017
Lady Bird,10000000,48958273,78610769,A24,2017
Thor: Ragnarok,180000000,315058289,846980024,BV,2017
